a1a2;b1b2;c1c2
le;serrer;auteur
de;songer;religion
un;désir;palais
et;manquer;réunir
être;cour;traiter
à;nommer;engager
il;bord;flot
avoir;douleur;intelligence
ne;conduire;tantôt
je;salle;voisin
son;saisir;carte
que;premier;secret
se;comment;animal
qui;entier;été
en;projet;traîner
ce;demeurer;cabinet
dans;simple;morceau
du;étude;employer
elle;remettre;capable
au;journal;souffrance
de;geste;marquer
ce;disparaître;prouver
le;battre;importer
pour;toucher;titre
pas;situation;désert
que;oiseau;facile
vous;nécessaire;spectacle
par;siècle;exiger
sur;apparaître;reposer
faire;souffrir;départ
plus;million;fier
dire;prix;danser
me;groupe;demande
on;centre;saluer
mon;malheur;lueur
lui;honneur;joue
nous;fermer;saint
comme;accepter;accorder
mais;garde;prière
pouvoir;mauvais;achever
avec;tendre;avouer
tout;naître;distinguer
y;sauver;emmener
aller;parmi;fonction
voir;problème;durant
en;larme;haut
bien;avancer;aspect
où;chien;sommeil
sans;peau;éclat
tu;reste;moitié
ou;traverser;demi
leur;nombre;calme
homme;debout;contraire
si;mesure;colline
deux;social;agiter
mari;souvenir;hésiter
moi;article;terrain
vouloir;vue;rare
te;couvrir;poids
femme;âge;sonner
venir;gagner;changement
quand;système;charge
grand;long;davantage
celui;former;composer
si;plaire;enlever
notre;effort;poche
devoir;embrasser;rejoindre
là;rêve;son
jour;oser;intérieur
prendre;afin de;veille
même;passion;ramener
votre;auquel;fruit
tout;empêcher;complet
rien;rapport;étudier
encore;refuser;partager
petit;important;croix
aussi;décider;suivant
quelque;produire;chasser
dont;soldat;interrompre
tout;lèvre;éloigner
mer;signe;trésor
trouver;vérité;compagnie
donner;charger;étroit
temps;mariage;cuisine
ça;mêler;réduire
peu;certain;égal
même;espérer;empire
falloir;plan;nation
sous;cesser;éteindre
parler;ressembler;recommencer
alors;dos;sauter
main;marche;plaindre
chose;souvenir;conversation
ton;dame;soirée
mettre;chanter;violent
vie;plutôt;impression
savoir;conseil;trait
yeux;sou;devant
passer;triste;préférer
autre;coin;révéler
après;jardin;sien
regarder;joli;magnifique
toujours;soit;désespoir
puis;doigt;témoin
jamais;objet;visite
cela;fer;respect
aimer;lendemain;solitude
non;lentement;subir
heure;combien;delà
croire;approcher;prochain
cent;prier;anglais
monde;train;rapporter
entre;papa;coûter
donc;différent;réfléchir
enfant;valeur;officier
fois;jeu;remercier
seul;échapper;déposer
autre;glisser;fauteuil
vers;secret;fumer
chez;haut;tôt
demander;vieillard;affirmer
jeune;briller;relation
jusque;docteur;fumée
très;brûler;convenir
moment;terrible;branche
rester;placer;malade
répondre;ton;circonstance
tout;jambe;ouvrage
entendre;juger;compagnon
tête;suffire;vêtir
père;endroit;expérience
fille;minute;port
mille;atteindre;accomplir
premier;nuage;avec
car;présence;résoudre
ni;fou;plonger
bon;épaule;goutte
trois;léger;mien
coeur;feuille;chant
ainsi;liberté;détruire
an;journée;combat
quatre;libre;personnage
un;annoncer;aventure
terre;avenir;intéresser
contre;sourire;disposer
dieu;hier;absence
monsieur;résultat;machine
voix;élever;aucun
penser;acheter;grâce
quel;mener;chaîne
arriver;préparer;honte
maison;pourquoi;fait
devant;hôtel;lisser
coup;semaine;faim
beau;forêt;plaine
connaître;assurer;verser
devenir;pur;pointe
air;qualité;obéir
mot;prince;preuve
nuit;bien;éternel
eau;également;lutter
sentir;deviner;prétendre
vieux;médecin;bataille
sembler;considérer;construire
moins;volonté;énergie
tenir;seigneur;victime
ici;quelque;sauvage
comprendre;vert;soumettre
oui;art;usage
rendre;moindre;peser
toi;demain;double
vingt;quarante;tache
depuis;cinquante;guère
attendre;foule;hauteur
sortir;appartenir;troubler
ami;aussitôt;tendre
trop;ligne;beau
porte;représenter;curiosité
lequel;tromper;répandre
chaque;intérieur;glace
amour;vendre;résister
pendant;beauté;froid
déjà;riche;prison
pied;craindre;étage
tant;étrange;billet
gens;emporter;droit
parce que;ensuite;sérieux
nom;soin;protéger
